TITLE,DOMAINE / FIELD,pISSN,eISSN,FNEGE_2019,FNEGE_2022,FNEGE_2025
TOURISM GEOGRAPHIES,SECTOR,1461-6688,1470-1340,,4,4
TOURISM MANAGEMENT,SECTOR,0261-5177,1879-3193,1,1,1
TOURISM MANAGEMENT PERSPECTIVES,SECTOR,2211-9736,2211-9744,,4,3
TOURISM PLANNING AND DEVELOPMENT (FORMERLY: TOURISM AND HOSPITALITY PLANNING AND DEVELOPMENT),SECTOR,1479-053X,2156-8324,,4,4
TOURISM RECREATION RESEARCH,SECTOR,0250-8281,2320-0308,,4,4
TOURIST STUDIES,SECTOR,1468-7976,1741-3206,,4,4
TRANSPORT POLICY,SECTOR,0967-070X,1879-310X,,3,3
TRANSPORT REVIEWS,SECTOR,0144-1647,1464-5327,,3,3
TRANSPORTATION,SECTOR,0049-4488,1572-9435,,4,3
TRANSPORTATION RESEARCH A: POLICY AND PRACTICE,SECTOR,0965-8564,1879-2375,,2,2
TRANSPORTATION RESEARCH B: METHODOLOGICAL,SECTOR,0191-2615,1879-2367,,1,1
TRANSPORTATION RESEARCH D: TRANSPORT AND ENVIRONMENT,SECTOR,1361-9209,1879-2340,,2,2
TRANSPORTATION RESEARCH PART E: LOGISTICS AND TRANSPORTATION REVIEW,LOG,1366-5545,1878-5794,2,2,1
URBAN STUDIES,SECTOR,0042-0980,1360-063X,,2,2
UTILITIES POLICY,SECTOR,0957-1787,1878-4356,,4,4
VENTURE CAPITAL: AN INTERNATIONAL JOURNAL OF ENTREPRENEURIAL FINANCE,FIN,1369-1066,1464-5343,4,4,4
VIE ET SCIENCES DE L'ENTREPRISE (VSE),GEN MAN,2262-5321,2262-5372,EM,4,4
VINE JOURNAL OF INFORMATION AND KNOWLEDGE MANAGEMENT SYSTEMS,ORG STUD,1474-1032,2059-5891,,,4
VOLUNTAS: INTERNATIONAL JOURNAL OF VOLUNTARY AND NONPROFIT ORGANIZATIONS,SECTOR,0957-8765,1573-7888,4,4,4
WORK AND OCCUPATIONS,HRM,0730-8884,1552-8464,3,3,3
WORK AND STRESS,HRM,0267-8373,1464-5335,3,3,3
"WORK, EMPLOYMENT AND SOCIETY",HRM,0950-0170,1469-8722,2,2,2
WORLD BANK ECONOMIC REVIEW,INT,0258-6770,1564-698X,,2,3
WORLD DEVELOPMENT,INT,0305-750X,1873-5991,,2,2
"WORLD REVIEW OF ENTREPRENEURSHIP, MANAGEMENT AND SUSTAINABLE DEVELOPMENT",INNOV,1746-0573,1746-0581,,,4
